,,,dice,dice,iou,iou,boundary_f1,boundary_f1,hd95,hd95
,,,mean,std,mean,std,mean,std,mean,std
model,dataset,tta,,,,,,,,
unet,cvc-clinicdb,False,0.8287515858795936,0.009693068461576868,0.7509878723696993,0.012811234578517749,0.5465675391205197,0.025454345018218045,38.738519919029386,7.874568092403715
unet,cvc-clinicdb,True,0.8482161428243603,0.007786172264771456,0.7734788590831682,0.008667490541808386,0.5800342212580188,0.019634344132395756,32.53191547326199,4.389903667892893
unet,kvasir-seg,False,0.903655802653431,0.01332682634664208,0.853370709740565,0.016078597518732928,0.47933173091010334,0.02506322678188297,39.85065683033145,4.302918091723059
unet,kvasir-seg,True,0.9167783070263424,0.006048891738029941,0.8699069474917908,0.008057031448362327,0.5103805760579316,0.017090092177610337,34.08934005200138,4.936197710038617
unetpp,cvc-clinicdb,False,0.8535822796117518,0.006583401760576695,0.7771475109787866,0.0050479038722830395,0.5738862831921664,0.010100721586442445,33.79519606735317,1.8792130812214691
unetpp,cvc-clinicdb,True,0.8613008221380613,0.0011921681807673308,0.7882787101586541,0.0008992697469504899,0.5907197759944061,0.010753120401325178,29.64724274695916,0.7511877481249806
unetpp,kvasir-seg,False,0.9160388472699298,0.008641520317714198,0.8684325450548832,0.010825100538705286,0.513573249367853,0.004182459765394991,40.846838899432555,5.688345994178997
unetpp,kvasir-seg,True,0.9248038239293163,0.010910859511598484,0.8813490411929147,0.01506232456089376,0.5393661280579495,0.007406256472556757,34.86183086077295,5.702975679901995
segformer,cvc-clinicdb,False,0.8506053520655662,0.0034113896811890088,0.7670186115027269,0.005598266914142068,0.4987672338909193,0.005731090762769065,32.42290823022756,1.1738798487142343
segformer,cvc-clinicdb,True,0.8582003177998208,0.0016802207750486354,0.7758761292079909,0.002772734735326241,0.5126304672846151,0.007136658434397006,30.61529808789257,0.7478837710187868
segformer,kvasir-seg,False,0.9180024080830606,0.0003906415175172025,0.8657988439555674,0.0010952316377539387,0.42846099405871235,0.009400202173530298,40.438749630643535,2.1720964033314507
segformer,kvasir-seg,True,0.9216486851362532,0.0016958539665921772,0.8724097588362416,0.002393306553037736,0.45280420101777613,0.004882767134307694,34.736178628463925,0.2080014026020421
