a,b,gap,ratio,resolvable
U-Net,U-Net++,0.00037950498981764724,0.0710566753681275,False
U-Net,SegFormer-B0,0.007535073044239615,1.410830564933893,False
U-Net,SegFormer-B2,0.01344383514524794,2.5171585492921102,True
U-Net,U-Net+PVTv2,0.012567591756308616,2.353094983062726,True
U-Net++,SegFormer-B0,0.007914578034057262,1.4818872403020205,False
U-Net++,SegFormer-B2,0.013064330155430293,2.446101873923983,True
U-Net++,U-Net+PVTv2,0.012188086766490969,2.2820383076945983,True
SegFormer-B0,SegFormer-B2,0.020978908189487555,3.927989114226003,True
SegFormer-B0,U-Net+PVTv2,0.02010266480054823,3.7639255479966187,True
SegFormer-B2,U-Net+PVTv2,0.000876243388939324,0.1640635662293844,False
