model,stratum,n,dice
U-Net,small,334,0.8891166171586218
U-Net,medium,333,0.9219684835202141
U-Net,large,333,0.8911523558304458
U-Net++,small,334,0.8778997304530591
U-Net++,medium,333,0.9213001644290207
U-Net++,large,333,0.9042109005957397
SegFormer-B0,small,334,0.8681706279229525
SegFormer-B0,medium,333,0.9124966859481348
SegFormer-B0,large,333,0.8990051965270711
SegFormer-B2,small,334,0.8978126242799073
SegFormer-B2,medium,333,0.9355765904813623
SegFormer-B2,large,333,0.9091940049255691
U-Net+PVTv2,small,334,0.8950549301541412
U-Net+PVTv2,medium,333,0.9335259097461752
U-Net+PVTv2,large,333,0.9113792996219174
U-Net,sessile,196,0.8499506904922423
U-Net,non-sessile,804,0.9131142466396394
U-Net++,sessile,196,0.8480726508704826
U-Net++,non-sessile,804,0.9140440983258115
SegFormer-B0,sessile,196,0.8304804698686656
SegFormer-B0,non-sessile,804,0.908488736935636
SegFormer-B2,sessile,196,0.8692458620771704
SegFormer-B2,non-sessile,804,0.9251316365831738
U-Net+PVTv2,sessile,196,0.8693168670555995
U-Net+PVTv2,non-sessile,804,0.9240244719504485
