model,size_bin,n,dice,det
U-Net,<1%,615,0.4460881680422753,0.4894308943089431
U-Net,1-5%,2635,0.810052324897151,0.8691967109424416
U-Net,>5%,2990,0.8289145929800334,0.8571348940914159
U-Net++,<1%,615,0.40221632508044797,0.44878048780487806
U-Net++,1-5%,2635,0.804954666107267,0.8734345351043643
U-Net++,>5%,2990,0.8414880948268146,0.869788182831661
SegFormer-B0,<1%,615,0.40336633754789536,0.43658536585365854
SegFormer-B0,1-5%,2635,0.8046614217367986,0.8645793801391526
SegFormer-B0,>5%,2990,0.8402939231443898,0.8618171683389075
SegFormer-B2,<1%,615,0.5270821409393921,0.5658536585365853
SegFormer-B2,1-5%,2635,0.8482992164664139,0.9082858950031625
SegFormer-B2,>5%,2990,0.8655596199861509,0.8918617614269788
U-Net+PVTv2,<1%,615,0.5026174013251541,0.5943089430894309
U-Net+PVTv2,1-5%,2635,0.8503371318590022,0.9072106261859583
U-Net+PVTv2,>5%,2990,0.8688960876451386,0.8923076923076924
