model,dataset,base,tta,delta
U-Net,Kvasir-SEG,0.9007341896347496,0.9048462782557269,0.004112088620977339
U-Net,CVC-ClinicDB,0.8488765305035798,0.8573365838405876,0.008460053337007833
U-Net,CVC-300,0.8552448911269973,0.8699765050856587,0.014731613958661405
U-Net,CVC-ColonDB,0.7190682520062974,0.7232911415599823,0.004222889553684883
U-Net,ETIS-Larib,0.6805320438461974,0.7021256990460806,0.02159365519988321
U-Net++,Kvasir-SEG,0.901113694624567,0.907483202637879,0.006369508013311931
U-Net++,CVC-ClinicDB,0.8534909622169587,0.8613007989939893,0.00780983677703051
U-Net++,CVC-300,0.8443016863957677,0.8621821599916342,0.01788047359586642
U-Net++,CVC-ColonDB,0.7249863496099085,0.7368418845439648,0.011855534934056333
U-Net++,ETIS-Larib,0.6551235449876016,0.6742556839679454,0.019132138980343827
SegFormer-B0,Kvasir-SEG,0.8931991165905098,0.8983377697253183,0.005138653134808546
SegFormer-B0,CVC-ClinicDB,0.8450427895371473,0.8515483533410172,0.006505563803869907
SegFormer-B0,CVC-300,0.8394865926440895,0.840599235682122,0.0011126430380324903
SegFormer-B0,CVC-ColonDB,0.7275426614334969,0.733063620707951,0.0055209592744540625
SegFormer-B0,ETIS-Larib,0.6743102077240855,0.7000694596862131,0.025759251962127694
SegFormer-B2,Kvasir-SEG,0.9141780247799971,0.9177959710327844,0.0036179462527873296
SegFormer-B2,CVC-ClinicDB,0.8717592672750187,0.8750745989659348,0.0033153316909160235
SegFormer-B2,CVC-300,0.8549549514063136,0.8646282889904294,0.009673337584115815
SegFormer-B2,CVC-ColonDB,0.7738207904675318,0.7819964280684324,0.008175637600900565
SegFormer-B2,ETIS-Larib,0.7684876231158742,0.7843335920956408,0.015845968979766645
U-Net+PVTv2,Kvasir-SEG,0.9133017813910581,0.9190072440007199,0.00570546260966176
U-Net+PVTv2,CVC-ClinicDB,0.8737922816062179,0.8782681005095437,0.004475818903325823
U-Net+PVTv2,CVC-300,0.8728081702242777,0.8772037085307383,0.004395538306460556
U-Net+PVTv2,CVC-ColonDB,0.7667962635837341,0.7841877397349174,0.017391476151183305
U-Net+PVTv2,ETIS-Larib,0.770599604827551,0.7763872101256113,0.005787605298060328
