a,b,gap,ratio,verdict
U-Net,U-Net++,0.00037950498981764724,0.06541580302440324,BELOW NOISE
U-Net,SegFormer-B0,0.007535073044239615,1.2988310226785544,BELOW NOISE
U-Net,SegFormer-B2,0.01344383514524794,2.3173325657105606,resolvable
U-Net,U-Net+PVTv2,0.012567591756308616,2.1662932738165788,resolvable
U-Net++,SegFormer-B0,0.007914578034057262,1.3642468257029576,BELOW NOISE
U-Net++,SegFormer-B2,0.013064330155430293,2.2519167626861574,resolvable
U-Net++,U-Net+PVTv2,0.012188086766490969,2.100877470792175,resolvable
SegFormer-B0,SegFormer-B2,0.020978908189487555,3.616163588389115,resolvable
SegFormer-B0,U-Net+PVTv2,0.02010266480054823,3.4651242964951328,resolvable
SegFormer-B2,U-Net+PVTv2,0.000876243388939324,0.1510392918939822,BELOW NOISE
