dataset,name,area,mean_dice,mean_det
cvc-300,205,0.0082508710801393,0.40378921748665836,0.0
cvc-300,206,0.0076445993031358,0.41427433831101845,0.0
cvc-300,208,0.0054668989547038,0.2861811322333695,0.0
cvc-clinicdb,154,0.0054253472222222,0.018256139819754845,0.0
cvc-clinicdb,178,0.003833912037037,0.6364563080958765,0.8
cvc-clinicdb,371,0.0098741319444444,0.7988684684597315,1.0
cvc-clinicdb,372,0.0091145833333333,0.8174839154004949,1.0
cvc-clinicdb,373,0.0095847800925925,0.8198922057551595,1.0
cvc-clinicdb,375,0.0086172598379629,0.7829135622841588,1.0
cvc-clinicdb,51,0.0097746672453703,0.6464184308632905,0.8
cvc-clinicdb,52,0.0094943576388888,0.4886221124141006,0.6
cvc-clinicdb,53,0.0074055989583333,0.8716411518207654,1.0
cvc-clinicdb,54,0.0040147569444444,0.4928632327309389,0.6
cvc-clinicdb,55,0.0060130931712962,0.8638324249422851,1.0
cvc-clinicdb,559,0.0033727575231481,0.04653924221917219,0.0
cvc-clinicdb,71,0.0078938802083333,0.2751090898083359,0.2
cvc-colondb,1,0.0050940766550522,0.7256977083818976,0.8
cvc-colondb,2,0.0036689895470383,0.06975562072199891,0.0
cvc-colondb,205,0.0082508710801393,0.40378921748665836,0.0
cvc-colondb,206,0.0076445993031358,0.41427433831101845,0.0
cvc-colondb,208,0.0054668989547038,0.2861811322333695,0.0
cvc-colondb,209,0.0092299651567944,0.7714896016841987,1.0
cvc-colondb,267,0.0085714285714285,0.6606906769712972,0.8
cvc-colondb,268,0.0099512195121951,0.48124816580705454,0.2
cvc-colondb,341,0.0043519163763066,0.0,0.0
cvc-colondb,342,0.0029825783972125,0.0,0.0
cvc-colondb,345,0.0079965156794425,0.012631900390867978,0.2
cvc-colondb,351,0.0084668989547038,0.06315543353743272,0.0
cvc-colondb,352,0.0081567944250871,0.01002734500476089,0.0
cvc-colondb,353,0.0064041811846689,0.011569298957233557,0.0
cvc-colondb,354,0.0062404181184668,0.031046237172385038,0.0
cvc-colondb,355,0.0048571428571428,0.0,0.0
cvc-colondb,356,0.0046376306620209,0.03894456191928891,0.0
cvc-colondb,357,0.0043344947735191,0.0,0.0
cvc-colondb,358,0.0039965156794425,0.0,0.0
cvc-colondb,359,0.0041498257839721,0.0,0.0
cvc-colondb,360,0.0039965156794425,0.0,0.0
cvc-colondb,369,0.0084947735191637,0.7781082767246795,1.0
cvc-colondb,370,0.0078885017421602,0.4943884245659584,0.6
cvc-colondb,371,0.0060383275261324,0.1998478424297922,0.2
cvc-colondb,372,0.0062682926829268,0.2256524308376088,0.2
cvc-colondb,373,0.0068606271777003,0.26010491153932025,0.0
cvc-colondb,374,0.007191637630662,0.009478267075835135,0.0
cvc-colondb,375,0.007163763066202,0.01704937715718071,0.0
cvc-colondb,376,0.0078919860627177,0.3035077439443169,0.4
cvc-colondb,377,0.0088188153310104,0.25688642402174705,0.0
cvc-colondb,378,0.0080696864111498,0.28089839914355585,0.4
cvc-colondb,379,0.0069303135888501,0.011099202095854481,0.0
cvc-colondb,380,0.0072648083623693,0.0,0.0
cvc-colondb,50,0.0088641114982578,0.7010076507566324,0.6
cvc-colondb,51,0.0081951219512195,0.6221931209924467,0.8
cvc-colondb,83,0.0070383275261324,0.8018698722575893,1.0
cvc-colondb,85,0.0091149825783972,0.8531710465855896,1.0
cvc-colondb,86,0.0093728222996515,0.8357475054068668,1.0
cvc-colondb,87,0.0084738675958188,0.8342097871944439,1.0
cvc-colondb,88,0.0070209059233449,0.8053740718547514,1.0
cvc-colondb,89,0.0058327526132404,0.7588338069872732,0.8
cvc-colondb,90,0.0086759581881533,0.7796196044981865,1.0
cvc-colondb,91,0.0050592334494773,0.5582342717204799,0.4
cvc-colondb,92,0.0061045296167247,0.4747442967264874,0.8
cvc-colondb,94,0.0094355400696864,0.7865738452127684,1.0
etis-larib,1,0.0088815650483796,0.7700690209308119,0.8
etis-larib,10,0.0087032577005957,0.3421939883870012,0.4
etis-larib,11,0.0054506274559513,0.04960188642977512,0.0
etis-larib,12,0.0088122702497147,0.25989699799801874,0.2
etis-larib,122,0.0092212785735412,0.8445630210428956,1.0
etis-larib,123,0.0060041407867494,0.7519789157627483,1.0
etis-larib,128,0.0070858156927367,0.8347958728701176,1.0
etis-larib,129,0.0073384881903071,0.8364226262864916,1.0
etis-larib,130,0.0094105716820889,0.8347879248001225,1.0
etis-larib,131,0.0096438078336924,0.8340974797261062,1.0
etis-larib,132,0.0072632779820002,0.859649210788826,1.0
etis-larib,135,0.0077889043816284,0.7702736886804493,1.0
etis-larib,138,0.0091350826044703,0.8182454227611041,1.0
etis-larib,140,0.0099150716187095,0.8920363369796158,1.0
etis-larib,141,0.0075134153040098,0.6380427700740284,0.8
etis-larib,146,0.0078987619892677,0.5038871259071507,0.6
