name,height,width,img_h,img_w,area_frac,n_polyps_mask,n_bbox,compactness,sessile,size_bin,size_tertile,fold,split
cju0qkwl35piu0993l0dewei2,529,622,529,622,0.2827728104352688,1,1,0.797458082077277,False,large,large,2,train
cju0qoxqj9q6s0835b43399p4,1070,1348,1070,1348,0.2705947197648298,1,1,0.8099676405466031,True,large,large,0,test
cju0qx73cjw570799j4n5cjze,529,619,529,619,0.3188263282139923,1,1,0.4974259540488019,False,large,large,0,test
cju0roawvklrq0799vmjorwfv,528,622,528,622,0.1084965409724252,2,3,0.395577307571963,False,large,medium,2,train
cju0rx1idathl0835detmsp84,528,617,528,617,0.0727677913658464,1,1,0.5668935198218421,False,medium,small,0,test
cju0s2a9ekvms080138tjjpxr,547,626,547,626,0.2071216218584086,1,1,0.7902136236732396,False,large,large,3,val
cju0s690hkp960855tjuaqvv0,530,621,530,621,0.0366238264515541,1,1,0.7712888728489679,False,medium,small,2,train
cju0sr5ghl0nd08789uzf1raf,1019,1214,1019,1214,0.1335296580780653,2,2,0.3599767776686983,False,large,medium,4,val
cju0sxqiclckk08551ycbwhno,531,570,531,570,0.0435061287871278,1,1,0.8034193622503807,True,medium,small,0,test
cju0t4oil7vzk099370nun5h9,530,622,530,622,0.3398895832069404,1,1,0.6711644465770802,False,large,large,0,test
cju0tl3uz8blh0993wxvn7ly3,529,622,529,622,0.0052729471975881,1,1,0.7942599679769001,True,small,small,4,val
cju0u2g7pmnux0801vkk47ivj,530,611,530,611,0.2923787172281752,1,1,0.7947471134727275,False,large,large,4,train
cju0u82z3cuma0835wlxrnrjv,546,626,546,626,0.2469309178574354,1,1,0.6485500352002361,False,large,large,3,train
cju0ue769mxii08019zqgdbxn,547,626,547,626,0.0477393391779733,1,1,0.6738902469762924,False,medium,small,3,train
cju0vtox5ain6099360pu62rp,531,622,531,622,0.0445467812354291,1,1,0.7386227315798252,False,medium,small,2,train
cju13cgqmnhwn0988yrainhcp,546,626,546,626,0.1242788095823239,1,1,0.8555639470111954,False,large,medium,3,train
cju13fwthn9mq0835gacxgy01,529,623,529,623,0.1384634990760604,1,1,0.8000183423095777,False,large,medium,3,train
cju13hp5rnbjx0835bf0jowgx,531,622,531,622,0.106542288105316,1,1,0.8153828643492445,True,large,medium,3,val
cju14g8o4xui30878gkgbrvqj,531,622,531,622,0.02580219327726,1,1,0.8362859257896074,True,medium,small,2,train
cju14hjh2ob2o0835ouz3r5aa,546,609,546,609,0.1254744161148102,1,1,0.6824400409424897,False,large,medium,3,train
cju14pxbaoksp0835qzorx6g6,530,622,530,622,0.0717678820603045,1,1,0.8379018272882534,False,medium,small,3,train
cju15czxqp3lv0835jvhgzurz,547,620,547,620,0.2729875567612195,1,1,0.5794669328159262,False,large,large,0,test
cju15jr8jz8sb0855ukmkswkz,528,594,528,594,0.3139252372206917,1,2,0.7916528417749809,False,large,large,0,test
cju15l5ubz9yh0855b3ivdpse,547,626,547,626,0.0348254492994024,1,1,0.8209464434260805,True,medium,small,4,val
cju15mhjczc8z0801kit5c6di,546,624,546,624,0.1346858269935193,1,1,0.7900687078498262,True,large,medium,1,train
cju15ptjtppz40988odsm9azx,529,622,529,622,0.0594885697092737,1,1,0.6163010450752704,False,medium,small,0,test
cju15wdt3zla10801odjiw7sy,529,622,529,622,0.1635646946553285,1,1,0.8134425188897548,False,large,medium,3,train
cju160wshltz10993i1gmqxbe,530,607,530,607,0.0265207795840974,1,1,0.7891630034421995,True,medium,small,3,train
cju16ach3m1da0993r1dq3sn2,528,616,528,616,0.2665289256198347,1,1,0.7538398842688783,False,large,large,3,train
cju16b6ynq8e40988m8vx0xnj,530,571,530,571,0.0184317483395565,1,1,0.8348299473476489,True,small,small,3,train
cju16d65tzw9d0799ouslsw25,530,481,530,481,0.0467226297414976,1,1,0.8180571160559083,False,medium,small,4,train
cju16fpvhzypl0799p9phnlx6,546,626,546,626,0.1056858476986272,1,1,0.6336927358400388,False,large,medium,2,val
cju16jgnyzp970878melv7r25,529,560,529,560,0.1164461247637051,1,1,0.7313635871794139,False,large,medium,4,train
cju16whaj0e7n0855q7b6cjkm,547,626,547,626,0.2600679862859278,1,1,0.3263667220755289,True,large,large,3,val
cju171py4qiha0835u8sl59ds,530,616,530,616,0.3663716000980151,1,1,0.683296086038138,False,large,large,3,train
cju175facms5f0993a5tjikvt,528,621,528,621,0.2301487093153759,1,1,0.4955169292861134,False,large,large,4,train
cju17bz250pgd0799u1hqkj5u,547,626,547,626,0.0905812126557289,1,1,0.7213979035811167,False,medium,medium,0,test
cju17g6ykn1cs0993dww6qdi8,510,605,510,605,0.3139912493923189,1,1,0.609630684768066,False,large,large,3,train
cju17hw9hr9c5098800fu4u8e,528,623,528,623,0.0240709664866968,1,1,0.8712141462859112,True,medium,small,1,train
cju17otoe119u0799nqcbl8n1,511,519,511,519,0.6168795176634277,1,1,0.7304155677228876,False,large,large,3,train
cju17r8il13910799dr2wme2e,531,622,531,622,0.01205636395565,1,1,0.8546812725766045,True,small,small,3,train
cju17v6ih0u7808783zcbg1jy,528,622,528,622,0.3508294358374744,1,1,0.7934554310215542,False,large,large,0,test
cju17x0j4nfc10993y31pvlgs,526,459,526,459,0.7025646760605383,1,1,0.6865769805148264,False,large,large,1,train
cju17z0qongpa0993de4boim4,529,622,529,622,0.0508026428558403,1,1,0.8312343223061589,False,medium,small,1,train
cju1819curo000988pd5xcqme,529,600,529,600,0.1073818525519848,1,1,0.8271254553569932,False,large,medium,3,val
cju183od81ff608017ekzif89,511,622,511,622,0.1525632232367025,2,2,0.4133722244071159,False,large,medium,4,train
cju1871y11d6r0799k6cw4yze,531,480,531,480,0.1528680163214061,1,1,0.8125883246403265,False,large,medium,0,test
cju18849rrsgr0988p90hkygb,528,619,528,619,0.1146735937729475,1,1,0.8279558757648521,False,large,medium,3,train
cju18gzrq18zw0878wbf4ftw6,546,626,546,626,0.076481292934967,1,1,0.6772256188016025,True,medium,small,4,train
cju18ibp219ub08783i6o98g7,528,615,528,615,0.0185267307218526,1,1,0.8248827956981724,True,small,small,3,train
cju18kevfrojc0835bn90f1in,528,621,528,621,0.0534237300541648,1,1,0.6303814770863879,True,medium,small,2,train
cju1alwgo30z60855fm3y23sm,529,622,529,622,0.0849233219263428,1,1,0.6834824856383106,False,medium,medium,1,train
cju1amqw6p8pw0993d9gc5crl,547,622,547,622,0.0244772715248916,1,1,0.747987116573708,True,medium,small,4,train
cju1aqqv02qwz0878a5cyhr67,547,626,547,626,0.0560273580552651,1,1,0.6270961311807209,False,medium,small,1,train
cju1ats0y372e08011yazcsxm,528,623,528,623,0.1558958363733644,1,1,0.7392827471130698,False,large,medium,4,train
cju1b0y2e396p08558ois175d,546,626,546,626,0.0403778862245315,1,1,0.6909416110231824,True,medium,small,1,val
cju1b3zgj3d8e0801kpolea6c,528,601,528,601,0.1417366258256441,1,1,0.5700391694926504,False,large,medium,3,train
cju1b75x63ddl0799sdp0i2j3,530,549,530,549,0.0672199883149465,1,1,0.7304942429298835,False,medium,small,0,test
cju1bhnfitmge0835ynls0l6b,531,622,531,622,0.0819118208076734,1,1,0.8075800456021691,False,medium,medium,0,test
cju1bm8063nmh07996rsjjemq,530,607,530,607,0.2437350408753225,1,1,0.7439378610603876,False,large,large,3,train
cju1brhsj3rls0855a1vgdlen,530,570,530,570,0.03987090367428,1,1,0.7850271275254137,True,medium,small,3,train
cju1c0qb4tzi308355wtsnp0y,530,622,530,622,0.3490262694897773,1,1,0.7037111190297389,True,large,large,2,train
cju1c3218411b08014g9f6gig,546,626,546,626,0.1589427611791829,1,1,0.6188307619310517,False,large,medium,2,train
cju1c4fcu40hl07992b8gj0c8,546,626,546,626,0.0543920935294737,1,1,0.8557378739935636,True,medium,small,2,val
cju1c6yfz42md08550zgoz3pw,530,536,530,536,0.2676710785694171,1,1,0.8514064793145782,False,large,large,0,test
cju1c8ffau5770835g0g343o8,529,622,529,622,0.0356159470942565,1,1,0.798890259511574,True,medium,small,0,test
cju1cbokpuiw70988j4lq1fpi,529,615,529,615,0.0421227350269722,1,1,0.6689270763292438,True,medium,small,4,val
cju1cdxvz48hw0801i0fjwcnk,505,577,505,577,0.0642860819877481,1,1,0.8575794746100575,False,medium,small,2,val
cju1cfhyg48bb0799cl5pr2jh,547,626,547,626,0.164171694575699,1,1,0.8318060555980968,True,large,medium,3,train
cju1cj3f0qi5n0993ut8f49rj,530,616,530,616,0.2346912521440823,1,1,0.7425949265835825,False,large,large,2,train
cju1cnnziug1l0835yh4ropyg,531,570,531,570,0.1926917104437175,1,1,0.5855415984724504,False,large,large,2,train
cju1cqc7n4gpy0855jt246k68,529,616,529,616,0.0345082611150664,1,1,0.7229349898550471,False,medium,small,1,train
cju1csmlc4ht10799b8ymmghg,546,612,546,612,0.1308177117000646,1,1,0.8543211680572695,False,large,medium,4,train
cju1cu1u2474n0878tt7v4tdr,531,621,531,621,0.0205761316872428,2,2,0.397878092166876,True,medium,small,2,val
cju1cvkfwqrec0993wbp1jlzm,531,622,531,622,0.0421034146577773,1,1,0.8338378433478347,True,medium,small,4,train
cju1cyjb5qtie0993njqne9m3,547,626,547,626,0.5072337641857124,1,1,0.8527024181510959,False,large,large,2,train
cju1d31sp4d4k0878r3fr02ul,529,622,529,622,0.0821911147040767,1,1,0.8541215593231416,False,medium,medium,0,test
cju1d50a94qf50855wsowacrc,530,622,530,622,0.0606018321907419,1,1,0.8293231437382151,False,medium,small,2,train
cju1d96gsv62d09881b3wecw2,528,622,528,622,0.252773920880834,1,1,0.5508158558610955,False,large,large,0,test
cju1ddr6p4k5z08780uuuzit2,531,570,531,570,0.0317507516437043,1,1,0.6426075192218805,False,medium,small,0,test
cju1dfeupuzlw0835gnxip369,1070,1348,1070,1348,0.0712762417149671,1,1,0.8777952616446147,False,medium,small,4,train
cju1dg44i4z3w0801nyz4p6zf,528,623,528,623,0.0088404105258037,1,1,0.3664630794258616,False,small,small,4,val
cju1dhfok4mhe0878jlgrag0h,546,626,546,626,0.0610188533511217,1,1,0.8455369595398677,False,medium,small,0,test
cju1dia8hvc6v098827mgffnm,528,616,528,616,0.0424476092089728,1,1,0.8590207517430756,True,medium,small,3,train
cju1djtprvd7b0988thwwrg09,529,590,529,590,0.059680881740412,1,1,0.705728807424366,False,medium,small,4,train
cju1dnz61vfp40988e78bkjga,547,627,547,627,0.05806647248002,1,1,0.4772823164096032,False,medium,small,4,train
cju1dq3x1vgx109889c7wyirg,513,617,513,617,0.1082455824416073,1,1,0.6892355201684705,False,large,medium,4,train
cju1drnhbrb9409935wi7vkhg,529,619,529,619,0.3652882415995065,1,1,0.4200107994703869,False,large,large,2,val
cju1efbr0rqxz09931z0lf4vf,529,622,529,622,0.0600416973115567,1,1,0.714531231662293,False,medium,small,0,test
cju1egh885m1l0855ci1lt37c,531,566,531,566,0.0248780552727369,1,1,0.6924927350739462,True,medium,small,1,train
cju1egx9pvz2n0988eoy8jp23,529,622,529,622,0.0158492332192634,1,1,0.8135192941309732,False,small,small,2,train
cju1ejj7dvqfa0835ra184v5m,547,619,547,619,0.1495571379207485,1,1,0.6066175743020139,False,large,medium,4,train
cju1erep75us208553i4ofwwe,547,613,547,613,0.1771221343767428,1,1,0.6362573320089804,False,large,large,0,test
cju1euant5l960878iqj5vvto,531,622,531,622,0.0580443378688514,1,1,0.8307759634847819,False,medium,small,4,train
cju1euuc65wm00799m4sjdnnn,530,570,530,570,0.0376266137040715,1,1,0.8520459416070074,False,medium,small,4,train
cju1ewnoh5z030855vpex9uzt,529,622,529,622,0.1018666536995726,1,1,0.71279637734824,False,large,medium,3,train
cju1expq45zst0855rjqwwj4m,529,622,529,622,0.282213604507686,1,1,0.7815244932629175,False,large,large,2,train
cju1f15k3w4ct0835cmde6ypo,547,572,547,572,0.1308759795962721,1,1,0.81548023017215,False,large,medium,1,train
cju1f320ewfyu0988ndz6blh5,530,571,530,571,0.1087070019495753,1,1,0.5542112908646177,False,large,medium,4,train
cju1f5x1164xv08555654c24r,530,622,530,622,0.1219165200509616,1,1,0.6021458317240351,False,large,medium,0,test
cju1f79yhsb5w0993txub59ol,528,623,528,623,0.0107343499197431,1,1,0.8556463187547613,True,small,small,4,train
cju1f8w0t65en0799m9oacq0q,528,622,528,622,0.0924011010425801,1,1,0.5885717869960692,False,medium,medium,2,train
cju1fb9236a110801yvg0fwju,547,626,547,626,0.3166005688886812,1,1,0.567308716957314,False,large,large,4,train
cju1ffnjn6ctm08015perkg37,547,626,547,626,0.2087716326637891,1,1,0.7554063754732263,False,large,large,1,train
cju1fj6axwfp30835ukhuzhw9,547,576,547,576,0.2439569368271379,1,1,0.7675373584307629,False,large,large,4,train
cju1fjsb4sipq09931lvd8e41,530,622,530,622,0.0695322453436874,1,1,0.8144050776103465,True,medium,small,0,test
cju1fm3id6gl50801r3fok20c,531,622,531,622,0.0264925124590501,1,1,0.8282847916036133,True,medium,small,1,train
cju1fmsyf6gxb0801cimx2gle,531,570,531,570,0.0794495655334192,1,1,0.8026785220002753,False,medium,medium,0,test
cju1fr4etsmrr09933u4t4aql,521,570,521,570,0.2796881839916489,1,1,0.797601652050457,False,large,large,3,train
cju1ftaji6isw0855108yqcse,502,562,502,562,0.1464710552806567,1,1,0.7583530985109057,False,large,medium,2,train
cju1fuoa4wmc50835qfd11sp9,528,621,528,621,0.0818633191821597,1,1,0.7393770732873316,False,medium,medium,2,train
cju1fyb1d69et0878muzdak9u,528,622,528,622,0.0988380590470622,1,1,0.7324082932713315,True,medium,medium,2,train
cju1g20bdwq6u0835e16xugcd,531,622,531,622,0.1949091988058689,1,1,0.8335590770190369,False,large,large,2,val
cju1g4nsb6ngy0799l4ezm8ab,529,568,529,568,0.1034638834899757,1,1,0.8881322035365924,False,large,medium,3,train
cju1gghyjwxt80835vx0wgxw0,529,621,529,621,0.2096807088999083,1,1,0.7131058437883797,False,large,large,2,train
cju1gi7jlwyld0835cdf6g6qz,529,611,529,611,0.0472001955330596,1,1,0.8188216178539381,False,medium,small,1,train
cju1gkndf6yi10801o1qnje19,528,623,528,623,0.1057535629164842,1,1,0.6592921606394562,False,large,medium,4,train
cju1gv7106qd008784gk603mg,531,622,531,622,0.1496720983886497,1,1,0.8042781188113,False,large,medium,3,train
cju1h5w4wxajx0835mc954kxy,528,622,528,622,0.0845817499756406,1,1,0.8314645171038697,False,medium,medium,2,train
cju1h89h6xbnx08352k2790o9,531,570,531,570,0.0839594277596061,1,1,0.8667483383703737,False,medium,medium,2,train
cju1haab178i70799tk9z8y8x,531,525,531,525,0.1037144650703972,1,1,0.8269983687561775,False,large,medium,2,train
cju1hhj6mxfp90835n3wofrap,530,622,530,622,0.0356670509009282,1,1,0.6438159821996642,True,medium,small,3,train
cju1hirfi7ekp0855q0vgm9qq,529,605,529,605,0.0466965582964895,1,1,0.8620243813397704,False,medium,small,0,test
cju1hmff8tkp809931jps6fbr,530,587,530,587,0.3906335379769213,1,1,0.591337909860779,False,large,large,2,train
cju1hp9i2xu8e0988u2dazk7m,531,490,531,490,0.1283408278565663,1,1,0.7885354933365613,False,large,medium,1,train
cju1hs0za7jha0855vj0mdrjt,531,571,531,571,0.1747355714526007,1,1,0.8680264952493472,False,large,large,1,train
cju1hyolc7aqu0878rrkfn1lr,1070,1348,1070,1348,0.0764642668959205,1,1,0.848485395122076,False,medium,small,3,train
cju2hdr06v2bq0799mbm3bks1,530,621,530,621,0.235724485765503,1,1,0.7376586492369354,False,large,large,2,train
cju2hewssldzx0835ep795xu0,530,576,530,576,0.0423480083857442,1,1,0.8345725575016546,False,medium,small,4,train
cju2hfqnmhisa0993gpleeldd,530,621,530,621,0.018819311518245,2,2,0.3937389035971142,True,small,small,3,train
cju2hgsptlfam0835o3b59h1o,528,530,528,530,0.0246855345911949,1,1,0.8027949320919774,True,medium,small,1,train
cju2hjrqcvi2j0801bx1i6gxg,531,599,531,599,0.0154872056063307,2,2,0.4387743845588089,True,small,small,1,train
cju2hlm19vjjf0801o69qnber,530,570,530,570,0.1483581595498179,1,1,0.8600488390089888,False,large,medium,1,train
cju2hos57llxm08359g92p6jj,529,622,529,622,0.1345893179511181,1,1,0.8051053946908261,False,large,medium,4,train
cju2hqt33lmra0988fr5ijv8j,528,602,528,602,0.1496998640893989,1,1,0.8215036650903376,False,large,medium,2,train
cju2htabevq9108015qjei0x7,487,332,487,332,0.4571138764503599,1,1,0.7810029683807358,False,large,large,3,train
cju2hugv9vget0799hhk7ksvg,529,613,529,613,0.0160202542887716,1,1,0.8542003419936076,True,small,small,3,train
cju2hw5gjlr5h0988so2qqres,530,621,530,621,0.1954698751253304,1,1,0.8466355106929799,False,large,large,4,train
cju2hx006vidl0799igm81vmh,528,622,528,622,0.0254585647471499,1,1,0.8712717432753977,False,medium,small,1,val
cju2i03ptvkiu0799xbbd4det,528,600,528,600,0.0808901515151515,1,1,0.7201046614436329,False,medium,medium,0,test
cju2i3hzclw3o0988rrgh911i,531,598,531,598,0.3110084462332067,1,1,0.6830618667061581,False,large,large,4,train
cju2i6acqvo6l0799u20fift8,546,623,546,623,0.138420969079075,1,1,0.7301850661289542,False,large,medium,4,train
cju2i8br1vqtd08784u6vmcjk,531,622,531,622,0.1860985460909162,1,1,0.812551737807669,False,large,large,3,train
cju2iatlki5u309930zmgkv6h,522,621,522,621,0.2402070569653445,1,1,0.6143312098883907,False,large,large,0,test
cju2igw4gvxds0878808qj398,546,626,546,626,0.4387675689592623,1,1,0.4596686038816721,False,large,large,0,test
cju2ij9uiic2l09933ljiv6gm,530,617,530,617,0.0364209045594935,1,1,0.4788837298284624,False,medium,small,3,train
cju2lberzkdzm09938cl40pog,528,605,528,605,0.2102867518156774,1,1,0.6815322452153543,False,large,large,2,train
cju2lcyfgkf5809932fn9gucn,530,571,530,571,0.063648679906156,1,1,0.7891462203379301,False,medium,small,0,test
cju2lejzcy4pc0878c9rlonot,530,571,530,571,0.2176089614380597,1,1,0.8197416168057051,False,large,large,1,train
cju2lyynuymli0855g7fxgbhe,519,612,519,612,0.045436800282091,1,1,0.7157026539011978,True,medium,small,1,train
cju2lz8vqktne0993fuym6drw,531,613,531,613,0.0593573638338202,1,1,0.8318380575383519,False,medium,small,0,test
cju2m56cryvqd0801gtn2yp8t,546,616,546,616,0.0398857095285666,1,1,0.8482855507515173,True,medium,small,3,train
cju2m71z2ywwv080131bcrsd3,531,570,531,570,0.0890342617372055,1,1,0.8309509582047874,False,medium,medium,1,train
cju2ma647l0nj0993ot4deq2q,547,621,547,621,0.1282033165826187,2,2,0.354421708213482,False,large,medium,0,test
cju2mfjndoz700988b9lc3zeq,531,622,531,622,0.0956152621093489,1,1,0.793685340480841,False,medium,medium,2,val
cju2mh8t6p07008350e01tx2a,528,588,528,588,0.0622519841269841,1,1,0.8497991511513977,False,medium,small,4,train
cju2nbdpmlmcj0993s1cht0dz,530,584,530,584,0.2539609718273455,1,1,0.6565407577186982,True,large,large,3,train
cju2nd7l7z98o0799gfjvyfmw,1070,1348,1070,1348,0.1855133253833994,1,1,0.879266665192142,False,large,large,1,train
cju2nfnvxzdkd0878399axlco,546,598,546,598,0.1211884548004949,1,1,0.6480897388228142,False,large,medium,0,test
cju2nguelpmlj0835rojdn097,529,591,529,591,0.1660285505007372,1,1,0.8294558342303613,False,large,medium,0,test
cju2nnqrqzp580855z8mhzgd6,518,569,518,569,0.5774643586594378,1,1,0.6901861730158102,False,large,large,1,train
cju2np2k9zi3v079992ypxqkn,531,603,531,603,0.1005393621971748,1,1,0.6922486574073404,False,large,medium,4,train
cju2nqapmzvk20801f9us40dx,547,626,547,626,0.1324447611426835,2,2,0.4644374881360605,False,large,medium,3,train
cju2nsmwjlzyl0993jl80chvz,547,625,547,625,0.0479912248628884,1,1,0.8577505846699388,False,medium,small,2,train
cju2ntxtdzlvu0799xl3j9pan,547,626,547,626,0.0269112381797898,1,1,0.536896153498086,False,medium,small,2,train
cju2nyc5f02m40801ojqbtiea,531,622,531,622,0.0972653671710841,1,1,0.8356998158905795,False,medium,medium,3,train
cju2oi8sq0i2y0801mektzvw8,1070,1348,1070,1348,0.7633732216644943,1,1,0.4988829991197052,False,large,large,2,train
