epoch,train_loss,val_dice,lr,seconds
1,0.97732,0.72744,9.993148e-05,11.1
2,0.70404,0.80452,9.972609e-05,4.5
3,0.60309,0.81286,9.938442e-05,4.0
4,0.55362,0.84714,9.890738e-05,4.8
5,0.50045,0.81528,9.829629e-05,4.5
6,0.47648,0.85958,9.755283e-05,5.0
7,0.42953,0.86366,9.667902e-05,5.0
8,0.41031,0.86982,9.567727e-05,4.6
9,0.40504,0.86888,9.455033e-05,4.1
10,0.38599,0.88528,9.330127e-05,4.0
11,0.36905,0.87628,9.193353e-05,4.7
12,0.36007,0.88493,9.045085e-05,4.1
13,0.36582,0.88140,8.885730e-05,4.0
14,0.34005,0.87683,8.715724e-05,4.1
15,0.34633,0.88141,8.535534e-05,4.6
16,0.35467,0.86959,8.345653e-05,4.9
17,0.32232,0.88504,8.146602e-05,7.3
18,0.31034,0.89233,7.938926e-05,4.3
19,0.32969,0.89472,7.723195e-05,5.0
20,0.30579,0.90045,7.500000e-05,5.1
21,0.30001,0.89308,7.269952e-05,4.5
22,0.28167,0.89302,7.033683e-05,4.4
23,0.27776,0.90445,6.791840e-05,4.7
24,0.29297,0.90323,6.545085e-05,5.1
25,0.27926,0.89458,6.294095e-05,4.5
26,0.27875,0.90781,6.039558e-05,4.6
27,0.27235,0.89748,5.782172e-05,4.0
28,0.26340,0.89408,5.522642e-05,5.0
29,0.26438,0.90453,5.261680e-05,8.4
30,0.26457,0.90376,5.000000e-05,4.1
31,0.26521,0.90542,4.738320e-05,4.3
32,0.25245,0.90345,4.477358e-05,4.4
33,0.24372,0.90557,4.217828e-05,4.3
34,0.23037,0.89758,3.960442e-05,4.3
35,0.24798,0.89907,3.705905e-05,4.3
36,0.23392,0.89398,3.454915e-05,8.6
37,0.23955,0.90071,3.208160e-05,4.1
38,0.22656,0.90351,2.966317e-05,4.2
39,0.23787,0.89244,2.730048e-05,4.3
40,0.23523,0.89277,2.500000e-05,4.5
41,0.22590,0.89677,2.276805e-05,4.5
