epoch,train_loss,val_dice,lr,seconds
1,1.17070,0.71941,9.993148e-05,4.9
2,0.90065,0.80366,9.972609e-05,4.1
3,0.77505,0.84241,9.938442e-05,4.0
4,0.69193,0.86529,9.890738e-05,4.3
5,0.61324,0.87287,9.829629e-05,3.9
6,0.54002,0.86232,9.755283e-05,3.9
7,0.50681,0.86773,9.667902e-05,3.9
8,0.45408,0.88004,9.567727e-05,6.4
9,0.41438,0.88228,9.455033e-05,4.6
10,0.38425,0.88225,9.330127e-05,4.0
11,0.36994,0.88423,9.193353e-05,4.0
12,0.36065,0.88731,9.045085e-05,4.1
13,0.32587,0.88884,8.885730e-05,4.0
14,0.33634,0.88918,8.715724e-05,6.9
15,0.31435,0.89698,8.535534e-05,3.9
16,0.31340,0.87893,8.345653e-05,3.9
17,0.28946,0.90514,8.146602e-05,4.0
18,0.26644,0.89528,7.938926e-05,4.1
19,0.25235,0.88836,7.723195e-05,5.1
20,0.26281,0.89179,7.500000e-05,6.4
21,0.25149,0.90040,7.269952e-05,4.0
22,0.23882,0.90567,7.033683e-05,3.9
23,0.25296,0.90317,6.791840e-05,4.0
24,0.23637,0.88784,6.545085e-05,4.1
25,0.25940,0.89660,6.294095e-05,4.0
26,0.23014,0.90516,6.039558e-05,4.1
27,0.23156,0.89636,5.782172e-05,4.1
28,0.21867,0.88904,5.522642e-05,3.9
29,0.21268,0.89934,5.261680e-05,4.2
30,0.20478,0.90112,5.000000e-05,4.0
31,0.20837,0.89694,4.738320e-05,4.1
32,0.19193,0.89104,4.477358e-05,4.4
33,0.19310,0.89257,4.217828e-05,6.9
34,0.19335,0.90155,3.960442e-05,4.1
35,0.19361,0.90033,3.705905e-05,3.9
36,0.17941,0.90109,3.454915e-05,4.1
37,0.17536,0.90302,3.208160e-05,4.1
