epoch,train_loss,val_dice,lr,seconds
1,1.27781,0.75382,9.993148e-05,7.8
2,1.00356,0.79876,9.972609e-05,6.7
3,0.90214,0.79387,9.938442e-05,6.7
4,0.83293,0.85197,9.890738e-05,6.8
5,0.77805,0.83560,9.829629e-05,6.9
6,0.71392,0.79612,9.755283e-05,6.8
7,0.66943,0.85534,9.667902e-05,6.8
8,0.61538,0.87510,9.567727e-05,6.9
9,0.57825,0.86928,9.455033e-05,6.7
10,0.52214,0.85491,9.330127e-05,6.7
11,0.50668,0.86578,9.193353e-05,6.6
12,0.49067,0.88168,9.045085e-05,6.8
13,0.45139,0.88391,8.885730e-05,6.8
14,0.43581,0.88059,8.715724e-05,6.8
15,0.41370,0.87818,8.535534e-05,6.6
16,0.39352,0.86800,8.345653e-05,6.8
17,0.36324,0.86792,8.146602e-05,6.8
18,0.33172,0.88573,7.938926e-05,6.9
19,0.32931,0.89511,7.723195e-05,6.9
20,0.31923,0.88903,7.500000e-05,6.9
21,0.31965,0.88885,7.269952e-05,6.8
22,0.29400,0.89884,7.033683e-05,6.9
23,0.27716,0.90414,6.791840e-05,6.9
24,0.27891,0.89312,6.545085e-05,6.7
25,0.27894,0.90156,6.294095e-05,6.6
26,0.27288,0.89072,6.039558e-05,6.9
27,0.26817,0.89311,5.782172e-05,6.9
28,0.24249,0.89519,5.522642e-05,7.8
29,0.23645,0.90137,5.261680e-05,8.7
30,0.24836,0.90443,5.000000e-05,6.7
31,0.22209,0.90340,4.738320e-05,6.8
32,0.23823,0.89158,4.477358e-05,6.8
33,0.23138,0.88924,4.217828e-05,6.7
34,0.22054,0.88175,3.960442e-05,6.9
35,0.21830,0.88373,3.705905e-05,6.9
36,0.21907,0.89158,3.454915e-05,6.8
37,0.21363,0.89457,3.208160e-05,6.7
38,0.19411,0.89764,2.966317e-05,6.8
39,0.20273,0.90623,2.730048e-05,6.8
40,0.18900,0.90645,2.500000e-05,6.6
41,0.19081,0.90149,2.276805e-05,6.7
42,0.18627,0.90261,2.061074e-05,6.8
43,0.19511,0.89228,1.853398e-05,8.8
44,0.18344,0.90706,1.654347e-05,7.4
45,0.17908,0.90316,1.464466e-05,6.8
46,0.17834,0.89961,1.284276e-05,6.7
47,0.19122,0.90481,1.114270e-05,6.6
48,0.17563,0.90085,9.549150e-06,6.7
49,0.17544,0.90449,8.066472e-06,6.8
50,0.17443,0.90583,6.698730e-06,6.7
51,0.17732,0.90605,5.449674e-06,6.8
52,0.17284,0.90584,4.322727e-06,6.8
53,0.17870,0.90621,3.320979e-06,6.7
54,0.17283,0.90664,2.447174e-06,6.5
55,0.16452,0.90655,1.703709e-06,6.6
56,0.16590,0.90639,1.092620e-06,6.7
57,0.16459,0.90619,6.155830e-07,9.2
58,0.17491,0.90632,2.739052e-07,6.8
59,0.16905,0.90647,6.852326e-08,6.6
