epoch,train_loss,val_dice,lr,seconds
1,0.98372,0.76199,9.993148e-05,10.6
2,0.56256,0.78137,9.972609e-05,4.2
3,0.45761,0.79341,9.938442e-05,4.4
4,0.39592,0.84277,9.890738e-05,4.3
5,0.36260,0.83172,9.829629e-05,4.3
6,0.35536,0.86538,9.755283e-05,4.2
7,0.31726,0.83319,9.667902e-05,4.5
8,0.31555,0.87392,9.567727e-05,4.4
9,0.28581,0.86712,9.455033e-05,4.4
10,0.26562,0.86775,9.330127e-05,4.3
11,0.28407,0.88564,9.193353e-05,4.4
12,0.25378,0.86305,9.045085e-05,4.4
13,0.25485,0.88626,8.885730e-05,4.2
14,0.25150,0.86302,8.715724e-05,4.3
15,0.25621,0.86319,8.535534e-05,4.6
16,0.25416,0.86958,8.345653e-05,4.3
17,0.22537,0.87596,8.146602e-05,4.4
18,0.21400,0.87199,7.938926e-05,4.3
19,0.20987,0.87567,7.723195e-05,4.3
20,0.20392,0.89268,7.500000e-05,4.4
21,0.21029,0.86150,7.269952e-05,4.2
22,0.20022,0.87954,7.033683e-05,4.3
23,0.20869,0.87490,6.791840e-05,4.5
24,0.21436,0.88584,6.545085e-05,4.3
25,0.20724,0.88786,6.294095e-05,4.4
26,0.18668,0.87729,6.039558e-05,4.4
27,0.17671,0.88934,5.782172e-05,4.2
28,0.17438,0.88918,5.522642e-05,4.6
29,0.18146,0.89330,5.261680e-05,4.2
30,0.19026,0.88389,5.000000e-05,4.3
31,0.16646,0.88674,4.738320e-05,4.4
32,0.16764,0.89708,4.477358e-05,4.2
33,0.17480,0.87200,4.217828e-05,4.3
34,0.17845,0.88806,3.960442e-05,4.4
35,0.16550,0.89644,3.705905e-05,4.2
36,0.16714,0.89757,3.454915e-05,4.3
37,0.15812,0.89686,3.208160e-05,4.0
38,0.15813,0.89348,2.966317e-05,4.4
39,0.17349,0.89377,2.730048e-05,4.3
40,0.16239,0.89173,2.500000e-05,4.4
41,0.15199,0.88977,2.276805e-05,4.4
42,0.15071,0.89291,2.061074e-05,4.2
43,0.15872,0.89383,1.853398e-05,4.4
44,0.14168,0.89197,1.654347e-05,4.4
45,0.14448,0.89190,1.464466e-05,4.6
46,0.13851,0.89161,1.284276e-05,4.7
47,0.14658,0.89291,1.114270e-05,4.4
48,0.14282,0.89307,9.549150e-06,4.6
49,0.13833,0.88991,8.066472e-06,4.6
50,0.14998,0.89209,6.698730e-06,4.7
51,0.14221,0.89454,5.449674e-06,4.3
