epoch,train_loss,val_dice,lr,seconds
1,1.05126,0.72459,9.993148e-05,9.3
2,0.67871,0.77545,9.972609e-05,3.5
3,0.59369,0.81321,9.938442e-05,3.3
4,0.53565,0.80676,9.890738e-05,3.3
5,0.49945,0.83211,9.829629e-05,3.3
6,0.46455,0.84866,9.755283e-05,3.2
7,0.42355,0.84970,9.667902e-05,3.1
8,0.42080,0.85488,9.567727e-05,3.3
9,0.39282,0.86238,9.455033e-05,3.4
10,0.38298,0.86442,9.330127e-05,3.5
11,0.37087,0.84976,9.193353e-05,3.4
12,0.34665,0.86052,9.045085e-05,3.6
13,0.33209,0.86991,8.885730e-05,3.6
14,0.32345,0.87406,8.715724e-05,3.2
15,0.31238,0.86793,8.535534e-05,3.0
16,0.29825,0.88160,8.345653e-05,3.3
17,0.29045,0.88528,8.146602e-05,3.2
18,0.30484,0.87479,7.938926e-05,2.9
19,0.30849,0.87243,7.723195e-05,3.0
20,0.26725,0.89157,7.500000e-05,3.0
21,0.27328,0.88888,7.269952e-05,3.2
22,0.26051,0.88940,7.033683e-05,3.3
23,0.27203,0.88879,6.791840e-05,3.5
24,0.25501,0.89144,6.545085e-05,3.7
25,0.25827,0.88890,6.294095e-05,3.5
26,0.24566,0.88369,6.039558e-05,3.3
27,0.23590,0.88984,5.782172e-05,3.2
28,0.24953,0.89857,5.522642e-05,3.3
29,0.23803,0.88374,5.261680e-05,3.4
30,0.23387,0.89462,5.000000e-05,3.3
31,0.23500,0.89959,4.738320e-05,3.3
32,0.22819,0.90114,4.477358e-05,3.8
33,0.22897,0.89696,4.217828e-05,3.5
34,0.21327,0.89946,3.960442e-05,3.5
35,0.21641,0.90187,3.705905e-05,3.1
36,0.22564,0.89721,3.454915e-05,3.3
37,0.21406,0.89062,3.208160e-05,3.2
38,0.20454,0.89761,2.966317e-05,3.4
39,0.20393,0.89847,2.730048e-05,3.2
40,0.22498,0.90319,2.500000e-05,3.1
41,0.20179,0.89837,2.276805e-05,3.1
42,0.19887,0.90251,2.061074e-05,3.5
43,0.20432,0.90167,1.853398e-05,3.5
44,0.21212,0.90322,1.654347e-05,3.3
45,0.19063,0.90491,1.464466e-05,3.1
46,0.19343,0.90357,1.284276e-05,3.3
47,0.19134,0.90037,1.114270e-05,3.2
48,0.19798,0.90196,9.549150e-06,3.2
49,0.19912,0.90765,8.066472e-06,3.3
50,0.20181,0.90735,6.698730e-06,3.1
51,0.18783,0.90760,5.449674e-06,3.0
52,0.19204,0.90658,4.322727e-06,3.3
53,0.20750,0.90643,3.320979e-06,3.2
54,0.20068,0.90687,2.447174e-06,2.9
55,0.18601,0.90693,1.703709e-06,2.9
56,0.17910,0.90694,1.092620e-06,2.9
57,0.19145,0.90730,6.155830e-07,3.1
58,0.18410,0.90752,2.739052e-07,3.0
59,0.19064,0.90764,6.852326e-08,3.4
60,0.19481,0.90754,0.000000e+00,3.2
