epoch,train_loss,val_dice,lr,seconds
1,1.16552,0.71178,9.993148e-05,11.2
2,0.85283,0.82683,9.972609e-05,4.8
3,0.74021,0.86593,9.938442e-05,5.0
4,0.65154,0.85750,9.890738e-05,4.8
5,0.60573,0.87443,9.829629e-05,5.0
6,0.56358,0.87639,9.755283e-05,5.0
7,0.52557,0.87134,9.667902e-05,4.9
8,0.48889,0.86416,9.567727e-05,5.2
9,0.46505,0.88940,9.455033e-05,5.1
10,0.42697,0.90175,9.330127e-05,4.8
11,0.40135,0.90970,9.193353e-05,4.9
12,0.37071,0.90329,9.045085e-05,4.9
13,0.34319,0.89775,8.885730e-05,5.0
14,0.32947,0.89818,8.715724e-05,5.1
15,0.32429,0.90096,8.535534e-05,5.0
16,0.29585,0.90048,8.345653e-05,5.1
17,0.28813,0.90550,8.146602e-05,4.9
18,0.28514,0.89702,7.938926e-05,5.1
19,0.29499,0.90839,7.723195e-05,4.9
20,0.25624,0.89900,7.500000e-05,5.0
21,0.24591,0.90624,7.269952e-05,5.1
22,0.24127,0.90724,7.033683e-05,5.2
23,0.22101,0.91279,6.791840e-05,4.9
24,0.25135,0.87857,6.545085e-05,5.2
25,0.23960,0.90541,6.294095e-05,4.7
26,0.21125,0.90183,6.039558e-05,4.7
27,0.20315,0.89156,5.782172e-05,4.8
28,0.22743,0.90618,5.522642e-05,4.9
29,0.20183,0.90169,5.261680e-05,5.1
30,0.18774,0.90736,5.000000e-05,5.0
31,0.18077,0.91057,4.738320e-05,5.0
32,0.17886,0.90009,4.477358e-05,5.0
33,0.17903,0.91126,4.217828e-05,4.9
34,0.17189,0.90594,3.960442e-05,5.0
35,0.16279,0.90699,3.705905e-05,4.9
36,0.16645,0.90909,3.454915e-05,5.0
37,0.15480,0.91114,3.208160e-05,4.8
38,0.15816,0.90869,2.966317e-05,5.2
