epoch,train_loss,val_dice,lr,seconds
1,1.20335,0.63856,9.993148e-05,4.0
2,0.96891,0.74683,9.972609e-05,3.3
3,0.88060,0.81474,9.938442e-05,3.4
4,0.79951,0.80969,9.890738e-05,3.4
5,0.73536,0.84251,9.829629e-05,3.3
6,0.67761,0.85148,9.755283e-05,3.3
7,0.61740,0.85683,9.667902e-05,3.3
8,0.58392,0.85540,9.567727e-05,3.4
9,0.54020,0.86446,9.455033e-05,3.2
10,0.51179,0.87588,9.330127e-05,3.3
11,0.47704,0.87783,9.193353e-05,3.2
12,0.44225,0.87860,9.045085e-05,3.1
13,0.42546,0.88237,8.885730e-05,3.2
14,0.40604,0.87432,8.715724e-05,3.3
15,0.38102,0.86794,8.535534e-05,3.2
16,0.36153,0.87549,8.345653e-05,3.2
17,0.34468,0.87329,8.146602e-05,3.3
18,0.34491,0.87536,7.938926e-05,3.2
19,0.33019,0.88090,7.723195e-05,3.2
20,0.30774,0.87447,7.500000e-05,3.3
21,0.30818,0.89704,7.269952e-05,3.5
22,0.30084,0.89602,7.033683e-05,3.4
23,0.28492,0.88598,6.791840e-05,3.6
24,0.28321,0.89196,6.545085e-05,3.5
25,0.26218,0.88248,6.294095e-05,3.6
26,0.25542,0.88152,6.039558e-05,3.5
27,0.24377,0.88396,5.782172e-05,3.4
28,0.24798,0.89542,5.522642e-05,3.4
29,0.21822,0.89028,5.261680e-05,3.4
30,0.22678,0.89781,5.000000e-05,3.4
31,0.23501,0.89444,4.738320e-05,3.4
32,0.21838,0.89672,4.477358e-05,3.5
33,0.20874,0.90278,4.217828e-05,3.2
34,0.21419,0.88781,3.960442e-05,3.4
35,0.22126,0.89127,3.705905e-05,3.2
36,0.20335,0.89858,3.454915e-05,3.1
37,0.20116,0.89992,3.208160e-05,3.3
38,0.19228,0.90261,2.966317e-05,3.3
39,0.20015,0.90101,2.730048e-05,3.4
40,0.18604,0.90549,2.500000e-05,3.3
41,0.18111,0.90551,2.276805e-05,3.3
42,0.18226,0.90951,2.061074e-05,3.3
43,0.17202,0.90726,1.853398e-05,3.2
44,0.17240,0.90522,1.654347e-05,3.2
45,0.16659,0.90343,1.464466e-05,3.4
46,0.16406,0.90695,1.284276e-05,3.4
47,0.16922,0.90790,1.114270e-05,3.4
48,0.16691,0.90328,9.549150e-06,3.3
49,0.17452,0.90621,8.066472e-06,3.3
50,0.16832,0.90312,6.698730e-06,3.3
51,0.15941,0.90363,5.449674e-06,3.4
52,0.16497,0.90439,4.322727e-06,3.6
53,0.16489,0.90304,3.320979e-06,3.4
54,0.16932,0.90426,2.447174e-06,3.3
55,0.16208,0.90482,1.703709e-06,3.5
56,0.15744,0.90445,1.092620e-06,3.3
57,0.15971,0.90452,6.155830e-07,3.3
