epoch,train_loss,val_dice,lr,seconds
1,0.99410,0.77715,9.993148e-05,6.6
2,0.74604,0.83445,9.972609e-05,5.8
3,0.62150,0.84903,9.938442e-05,5.8
4,0.54329,0.85071,9.890738e-05,5.9
5,0.49542,0.85761,9.829629e-05,5.7
6,0.45652,0.85755,9.755283e-05,5.8
7,0.42408,0.86063,9.667902e-05,5.7
8,0.40139,0.86901,9.567727e-05,5.7
9,0.38033,0.87525,9.455033e-05,5.9
10,0.36678,0.88121,9.330127e-05,5.9
11,0.33197,0.87464,9.193353e-05,5.7
12,0.32505,0.88102,9.045085e-05,5.9
13,0.33264,0.87515,8.885730e-05,5.8
14,0.33638,0.86920,8.715724e-05,5.7
15,0.30591,0.87218,8.535534e-05,5.7
16,0.29889,0.86947,8.345653e-05,5.6
17,0.27020,0.88551,8.146602e-05,5.7
18,0.28643,0.88314,7.938926e-05,5.6
19,0.28592,0.88905,7.723195e-05,6.1
20,0.26489,0.89359,7.500000e-05,5.9
21,0.26485,0.86906,7.269952e-05,5.7
22,0.25059,0.87984,7.033683e-05,5.8
23,0.25815,0.86925,6.791840e-05,5.7
24,0.25834,0.88842,6.545085e-05,5.8
25,0.23896,0.86809,6.294095e-05,5.8
26,0.24654,0.88542,6.039558e-05,5.7
27,0.23078,0.88991,5.782172e-05,5.6
28,0.22857,0.89492,5.522642e-05,5.7
29,0.21544,0.89450,5.261680e-05,5.8
30,0.21704,0.90823,5.000000e-05,5.6
31,0.22202,0.89552,4.738320e-05,5.7
32,0.21365,0.89000,4.477358e-05,5.7
33,0.21552,0.89052,4.217828e-05,5.7
34,0.20892,0.89065,3.960442e-05,5.6
35,0.19998,0.89383,3.705905e-05,5.6
36,0.20904,0.90633,3.454915e-05,6.0
37,0.20194,0.88991,3.208160e-05,6.0
38,0.19975,0.89503,2.966317e-05,5.8
39,0.20373,0.90307,2.730048e-05,5.8
40,0.19299,0.90905,2.500000e-05,5.8
41,0.18994,0.89589,2.276805e-05,5.9
42,0.19062,0.90681,2.061074e-05,5.6
43,0.18288,0.89591,1.853398e-05,5.9
44,0.18396,0.90264,1.654347e-05,6.0
45,0.18559,0.90526,1.464466e-05,5.9
46,0.17083,0.90157,1.284276e-05,6.0
47,0.17812,0.90440,1.114270e-05,5.7
48,0.18872,0.90891,9.549150e-06,5.7
49,0.18016,0.90891,8.066472e-06,5.8
50,0.17262,0.90746,6.698730e-06,5.9
51,0.17442,0.90907,5.449674e-06,5.6
52,0.16936,0.90723,4.322727e-06,5.6
53,0.16073,0.90483,3.320979e-06,5.8
54,0.17982,0.90798,2.447174e-06,5.9
55,0.16383,0.90543,1.703709e-06,5.9
56,0.16268,0.90726,1.092620e-06,5.9
57,0.16326,0.90710,6.155830e-07,5.9
58,0.16680,0.90445,2.739052e-07,6.0
59,0.16507,0.90617,6.852326e-08,6.0
60,0.16261,0.90717,0.000000e+00,5.9
