epoch,train_loss,val_dice,lr,seconds
1,0.92736,0.75488,9.993148e-05,19.4
2,0.51486,0.78008,9.972609e-05,11.2
3,0.41977,0.83500,9.938442e-05,11.1
4,0.37334,0.83232,9.890738e-05,11.1
5,0.35206,0.82789,9.829629e-05,11.2
6,0.33557,0.83633,9.755283e-05,11.2
7,0.31382,0.85643,9.667902e-05,11.1
8,0.29155,0.86055,9.567727e-05,11.4
9,0.27722,0.87352,9.455033e-05,11.9
10,0.24687,0.87047,9.330127e-05,11.5
11,0.26013,0.87572,9.193353e-05,11.6
12,0.22463,0.88027,9.045085e-05,11.6
13,0.23153,0.88439,8.885730e-05,11.6
14,0.24826,0.87886,8.715724e-05,11.0
15,0.22302,0.85717,8.535534e-05,11.2
16,0.23849,0.88751,8.345653e-05,11.4
17,0.21212,0.88108,8.146602e-05,10.6
18,0.21493,0.87839,7.938926e-05,11.3
19,0.20035,0.87496,7.723195e-05,11.3
20,0.19315,0.87831,7.500000e-05,11.3
21,0.19553,0.88324,7.269952e-05,11.4
22,0.17834,0.87634,7.033683e-05,11.3
23,0.19673,0.87512,6.791840e-05,11.4
24,0.17394,0.89025,6.545085e-05,11.2
25,0.17291,0.88885,6.294095e-05,11.4
26,0.19702,0.88355,6.039558e-05,11.2
27,0.17740,0.88259,5.782172e-05,11.0
28,0.17161,0.88368,5.522642e-05,10.8
29,0.16040,0.87603,5.261680e-05,11.4
30,0.16662,0.88698,5.000000e-05,11.3
31,0.15973,0.87961,4.738320e-05,11.5
32,0.16800,0.88735,4.477358e-05,11.4
33,0.15760,0.87702,4.217828e-05,11.4
34,0.14514,0.88697,3.960442e-05,11.2
35,0.14380,0.88508,3.705905e-05,11.3
36,0.14601,0.87829,3.454915e-05,11.4
37,0.15279,0.88258,3.208160e-05,11.3
38,0.13707,0.89553,2.966317e-05,10.9
39,0.14356,0.88743,2.730048e-05,11.4
40,0.15052,0.88501,2.500000e-05,11.3
41,0.14095,0.88957,2.276805e-05,11.4
42,0.13992,0.88138,2.061074e-05,11.1
43,0.13739,0.88652,1.853398e-05,11.2
44,0.12827,0.88730,1.654347e-05,11.2
45,0.13655,0.88514,1.464466e-05,11.3
46,0.12370,0.88572,1.284276e-05,11.6
47,0.12663,0.88511,1.114270e-05,11.5
48,0.13482,0.88849,9.549150e-06,11.3
49,0.12744,0.88470,8.066472e-06,11.5
50,0.13304,0.88300,6.698730e-06,11.5
51,0.13267,0.88561,5.449674e-06,11.3
52,0.13116,0.88804,4.322727e-06,11.4
53,0.13441,0.88615,3.320979e-06,11.3
