epoch,train_loss,val_dice,lr,seconds
1,0.93835,0.75998,9.993148e-05,13.4
2,0.51994,0.79072,9.972609e-05,6.8
3,0.43400,0.80556,9.938442e-05,6.8
4,0.39570,0.85155,9.890738e-05,6.3
5,0.37662,0.84880,9.829629e-05,6.5
6,0.32693,0.83033,9.755283e-05,6.9
7,0.31598,0.83824,9.667902e-05,6.7
8,0.29760,0.85952,9.567727e-05,6.8
9,0.29225,0.86991,9.455033e-05,6.7
10,0.25518,0.87486,9.330127e-05,6.9
11,0.25270,0.86749,9.193353e-05,6.6
12,0.23747,0.86791,9.045085e-05,6.7
13,0.22897,0.85389,8.885730e-05,7.0
14,0.23232,0.86667,8.715724e-05,6.8
15,0.21479,0.88169,8.535534e-05,6.8
16,0.21937,0.87794,8.345653e-05,5.1
17,0.21737,0.88421,8.146602e-05,5.1
18,0.21271,0.88445,7.938926e-05,4.8
19,0.21859,0.89329,7.723195e-05,5.6
20,0.20938,0.88733,7.500000e-05,4.8
21,0.19286,0.88883,7.269952e-05,6.3
22,0.19088,0.88507,7.033683e-05,5.1
23,0.19321,0.88629,6.791840e-05,6.2
24,0.18046,0.88684,6.545085e-05,5.7
25,0.18776,0.88768,6.294095e-05,6.1
26,0.16614,0.89174,6.039558e-05,6.2
27,0.16537,0.88777,5.782172e-05,5.3
28,0.18113,0.89207,5.522642e-05,5.9
29,0.18370,0.89255,5.261680e-05,6.0
30,0.17176,0.88711,5.000000e-05,6.0
31,0.17193,0.88957,4.738320e-05,5.2
32,0.16141,0.89109,4.477358e-05,5.9
33,0.14978,0.89217,4.217828e-05,4.9
34,0.15334,0.89181,3.960442e-05,5.7
