epoch,train_loss,val_dice,lr,seconds
1,1.03822,0.69758,9.993148e-05,11.3
2,0.67966,0.75145,9.972609e-05,4.7
3,0.59242,0.75846,9.938442e-05,4.5
4,0.52532,0.79986,9.890738e-05,4.5
5,0.48538,0.80629,9.829629e-05,4.7
6,0.47049,0.78894,9.755283e-05,4.5
7,0.43412,0.82265,9.667902e-05,4.5
8,0.40227,0.83504,9.567727e-05,4.6
9,0.38407,0.82512,9.455033e-05,4.7
10,0.38351,0.82818,9.330127e-05,4.6
11,0.35060,0.82685,9.193353e-05,4.8
12,0.33851,0.83698,9.045085e-05,4.7
13,0.33597,0.84131,8.885730e-05,4.7
14,0.32127,0.83624,8.715724e-05,5.0
15,0.32121,0.82565,8.535534e-05,5.1
16,0.29012,0.84451,8.345653e-05,4.9
17,0.28455,0.84369,8.146602e-05,4.7
18,0.27119,0.84584,7.938926e-05,4.4
19,0.26542,0.84439,7.723195e-05,4.6
20,0.27325,0.84928,7.500000e-05,4.9
21,0.26644,0.85270,7.269952e-05,4.6
22,0.25211,0.85185,7.033683e-05,4.9
23,0.24933,0.85392,6.791840e-05,4.5
24,0.26079,0.85214,6.545085e-05,4.7
25,0.26325,0.84932,6.294095e-05,4.9
26,0.24682,0.84473,6.039558e-05,4.6
27,0.24320,0.84774,5.782172e-05,4.4
28,0.22568,0.84932,5.522642e-05,4.8
29,0.23117,0.85009,5.261680e-05,4.7
30,0.22675,0.83700,5.000000e-05,4.6
31,0.21735,0.85072,4.738320e-05,4.6
32,0.22604,0.85067,4.477358e-05,4.6
33,0.21507,0.85107,4.217828e-05,4.3
34,0.21947,0.85098,3.960442e-05,4.7
35,0.20684,0.84513,3.705905e-05,4.7
36,0.20083,0.84444,3.454915e-05,4.6
37,0.21855,0.84907,3.208160e-05,4.4
38,0.20666,0.85036,2.966317e-05,4.4
