epoch,train_loss,val_dice,lr,seconds
1,1.18242,0.72862,9.993148e-05,14.0
2,0.86274,0.79109,9.972609e-05,5.9
3,0.73482,0.80260,9.938442e-05,5.2
4,0.65777,0.84137,9.890738e-05,5.8
5,0.59823,0.85637,9.829629e-05,5.9
6,0.56468,0.81981,9.755283e-05,6.0
7,0.51722,0.84516,9.667902e-05,5.7
8,0.48172,0.85959,9.567727e-05,5.5
9,0.45262,0.86571,9.455033e-05,5.2
10,0.40421,0.86053,9.330127e-05,5.7
11,0.38423,0.85846,9.193353e-05,5.8
12,0.35742,0.86831,9.045085e-05,6.4
13,0.33761,0.87423,8.885730e-05,6.3
14,0.32263,0.87766,8.715724e-05,6.2
15,0.30317,0.87426,8.535534e-05,6.3
16,0.30312,0.86339,8.345653e-05,6.2
17,0.28208,0.88323,8.146602e-05,6.1
18,0.25691,0.87285,7.938926e-05,6.2
19,0.25478,0.88484,7.723195e-05,6.0
20,0.23964,0.88349,7.500000e-05,6.4
21,0.22530,0.88798,7.269952e-05,6.6
22,0.22681,0.89052,7.033683e-05,6.5
23,0.21708,0.87716,6.791840e-05,6.3
24,0.20754,0.88512,6.545085e-05,6.3
25,0.20145,0.89152,6.294095e-05,6.1
26,0.19277,0.88169,6.039558e-05,6.0
27,0.19317,0.88658,5.782172e-05,6.2
28,0.18516,0.87227,5.522642e-05,6.2
29,0.17415,0.87869,5.261680e-05,6.4
30,0.18519,0.88756,5.000000e-05,6.5
31,0.18288,0.88061,4.738320e-05,6.1
32,0.17282,0.89074,4.477358e-05,6.2
33,0.17082,0.89116,4.217828e-05,6.2
34,0.16029,0.89121,3.960442e-05,6.1
35,0.15465,0.88672,3.705905e-05,6.3
36,0.15100,0.88663,3.454915e-05,6.3
37,0.14951,0.88768,3.208160e-05,6.2
38,0.15006,0.89265,2.966317e-05,6.2
39,0.14684,0.89216,2.730048e-05,6.1
40,0.14252,0.89183,2.500000e-05,6.2
41,0.14108,0.88741,2.276805e-05,6.0
42,0.14078,0.88665,2.061074e-05,6.3
43,0.12663,0.88715,1.853398e-05,6.3
44,0.13543,0.88718,1.654347e-05,6.1
45,0.13670,0.88814,1.464466e-05,6.1
46,0.12577,0.89049,1.284276e-05,5.4
47,0.12831,0.89778,1.114270e-05,5.6
48,0.12532,0.89151,9.549150e-06,5.2
49,0.12813,0.89029,8.066472e-06,6.1
50,0.12712,0.88826,6.698730e-06,5.6
51,0.12329,0.88837,5.449674e-06,5.7
52,0.12933,0.88776,4.322727e-06,5.3
53,0.12563,0.88728,3.320979e-06,5.5
54,0.13074,0.88668,2.447174e-06,5.9
55,0.12530,0.88659,1.703709e-06,5.9
56,0.12410,0.88701,1.092620e-06,5.1
57,0.12311,0.88689,6.155830e-07,5.6
58,0.12100,0.88747,2.739052e-07,5.3
59,0.12308,0.88777,6.852326e-08,5.7
60,0.12196,0.88778,0.000000e+00,5.9
