epoch,train_loss,val_dice,lr,seconds
1,1.20295,0.59199,9.993148e-05,4.9
2,0.97200,0.71710,9.972609e-05,3.8
3,0.88146,0.78207,9.938442e-05,3.6
4,0.80663,0.79665,9.890738e-05,3.7
5,0.73529,0.80215,9.829629e-05,3.9
6,0.68572,0.79393,9.755283e-05,4.0
7,0.62841,0.81623,9.667902e-05,4.0
8,0.58374,0.82333,9.567727e-05,4.0
9,0.55367,0.83597,9.455033e-05,3.9
10,0.51907,0.83563,9.330127e-05,3.8
11,0.48906,0.84232,9.193353e-05,4.1
12,0.45906,0.83722,9.045085e-05,4.0
13,0.43291,0.82547,8.885730e-05,3.8
14,0.40691,0.85527,8.715724e-05,3.8
15,0.39341,0.84231,8.535534e-05,3.7
16,0.37913,0.85686,8.345653e-05,3.6
17,0.36256,0.84687,8.146602e-05,3.9
18,0.34146,0.85514,7.938926e-05,4.0
19,0.32125,0.84640,7.723195e-05,3.9
20,0.31205,0.83952,7.500000e-05,3.8
21,0.31172,0.83380,7.269952e-05,4.0
22,0.29155,0.85320,7.033683e-05,4.0
23,0.28606,0.85985,6.791840e-05,4.2
24,0.27849,0.86635,6.545085e-05,3.8
25,0.27322,0.86449,6.294095e-05,3.9
26,0.25818,0.85719,6.039558e-05,4.0
27,0.23975,0.86830,5.782172e-05,4.3
28,0.24444,0.85394,5.522642e-05,4.2
29,0.23503,0.86518,5.261680e-05,4.2
30,0.23340,0.85011,5.000000e-05,4.2
31,0.23506,0.87127,4.738320e-05,4.2
32,0.21317,0.86964,4.477358e-05,4.3
33,0.20960,0.86053,4.217828e-05,4.1
34,0.21736,0.88169,3.960442e-05,4.0
35,0.20701,0.87357,3.705905e-05,4.3
36,0.20126,0.86482,3.454915e-05,4.3
37,0.21025,0.88255,3.208160e-05,4.3
38,0.20133,0.88405,2.966317e-05,4.5
39,0.19937,0.88890,2.730048e-05,4.1
40,0.18054,0.89013,2.500000e-05,4.0
41,0.19386,0.88021,2.276805e-05,4.0
42,0.18434,0.87723,2.061074e-05,3.6
43,0.18120,0.87211,1.853398e-05,3.9
44,0.17882,0.87645,1.654347e-05,4.2
45,0.17008,0.87071,1.464466e-05,4.1
46,0.17489,0.86940,1.284276e-05,4.2
47,0.17777,0.87025,1.114270e-05,4.2
48,0.17067,0.87460,9.549150e-06,4.2
49,0.16539,0.87565,8.066472e-06,4.2
50,0.16913,0.87354,6.698730e-06,4.1
51,0.16760,0.87810,5.449674e-06,4.3
52,0.16951,0.87613,4.322727e-06,4.0
53,0.16143,0.87663,3.320979e-06,4.1
54,0.16792,0.87687,2.447174e-06,4.0
55,0.16805,0.87841,1.703709e-06,4.3
