epoch,train_loss,val_dice,lr,seconds
1,1.20373,0.61881,9.993148e-05,4.6
2,0.97958,0.68989,9.972609e-05,3.8
3,0.88944,0.76325,9.938442e-05,4.1
4,0.80212,0.78298,9.890738e-05,4.1
5,0.73375,0.79851,9.829629e-05,4.0
6,0.68277,0.80730,9.755283e-05,4.0
7,0.62510,0.82583,9.667902e-05,4.1
8,0.58530,0.81681,9.567727e-05,3.7
9,0.55260,0.81309,9.455033e-05,4.1
10,0.52038,0.82651,9.330127e-05,4.1
11,0.49035,0.80830,9.193353e-05,4.0
12,0.46337,0.84257,9.045085e-05,4.1
13,0.43817,0.83680,8.885730e-05,4.2
14,0.41928,0.83237,8.715724e-05,4.0
15,0.38763,0.85513,8.535534e-05,4.0
16,0.36932,0.83724,8.345653e-05,3.8
17,0.35282,0.83784,8.146602e-05,3.6
18,0.33730,0.83286,7.938926e-05,3.8
19,0.33234,0.84362,7.723195e-05,3.8
20,0.30397,0.84685,7.500000e-05,3.8
21,0.32261,0.84036,7.269952e-05,3.8
22,0.30174,0.83897,7.033683e-05,3.5
23,0.29198,0.84158,6.791840e-05,3.6
24,0.28881,0.85934,6.545085e-05,3.5
25,0.27390,0.85125,6.294095e-05,3.8
26,0.26488,0.85411,6.039558e-05,3.6
27,0.26121,0.86290,5.782172e-05,3.8
28,0.25103,0.84334,5.522642e-05,3.6
29,0.24400,0.86052,5.261680e-05,3.9
30,0.23060,0.84163,5.000000e-05,3.5
31,0.23096,0.85111,4.738320e-05,3.3
32,0.22733,0.85687,4.477358e-05,3.6
33,0.21942,0.85531,4.217828e-05,3.6
34,0.21090,0.85273,3.960442e-05,3.6
35,0.21542,0.84489,3.705905e-05,3.5
36,0.21163,0.86934,3.454915e-05,3.4
37,0.20628,0.86222,3.208160e-05,3.5
38,0.19152,0.86686,2.966317e-05,3.5
39,0.19163,0.85942,2.730048e-05,3.5
40,0.18670,0.86871,2.500000e-05,3.6
41,0.18009,0.86442,2.276805e-05,3.5
42,0.17897,0.86141,2.061074e-05,3.5
43,0.18063,0.86571,1.853398e-05,3.5
44,0.18091,0.87138,1.654347e-05,3.5
45,0.17313,0.86492,1.464466e-05,3.7
46,0.17586,0.86785,1.284276e-05,3.7
47,0.17318,0.87083,1.114270e-05,3.6
48,0.17511,0.86449,9.549150e-06,3.9
49,0.17491,0.86690,8.066472e-06,3.6
50,0.16821,0.86676,6.698730e-06,3.6
51,0.17813,0.86641,5.449674e-06,3.5
52,0.17511,0.87065,4.322727e-06,3.7
53,0.16681,0.86776,3.320979e-06,3.5
54,0.16482,0.86950,2.447174e-06,3.5
55,0.16485,0.86926,1.703709e-06,3.5
56,0.16152,0.87042,1.092620e-06,3.5
57,0.16027,0.86996,6.155830e-07,3.4
58,0.16678,0.86867,2.739052e-07,3.5
59,0.16128,0.86851,6.852326e-08,3.6
