epoch,train_loss,val_dice,lr,seconds
1,0.97542,0.71359,9.993148e-05,7.2
2,0.72466,0.77166,9.972609e-05,5.9
3,0.60763,0.76807,9.938442e-05,6.1
4,0.53852,0.82517,9.890738e-05,6.0
5,0.49053,0.82896,9.829629e-05,6.3
6,0.44513,0.84015,9.755283e-05,6.1
7,0.40359,0.84116,9.667902e-05,6.1
8,0.37716,0.82638,9.567727e-05,6.0
9,0.37037,0.84689,9.455033e-05,6.1
10,0.34939,0.86029,9.330127e-05,6.0
11,0.31837,0.84591,9.193353e-05,6.0
12,0.31378,0.85468,9.045085e-05,6.1
13,0.31266,0.85908,8.885730e-05,6.1
14,0.28416,0.83932,8.715724e-05,6.1
15,0.31385,0.85455,8.535534e-05,6.0
16,0.27279,0.83769,8.345653e-05,6.0
17,0.26148,0.86403,8.146602e-05,6.1
18,0.26487,0.87101,7.938926e-05,6.1
19,0.25358,0.86592,7.723195e-05,6.1
20,0.24578,0.85797,7.500000e-05,6.0
21,0.24755,0.86009,7.269952e-05,6.0
22,0.23447,0.88381,7.033683e-05,6.0
23,0.23302,0.87666,6.791840e-05,6.2
24,0.23261,0.87460,6.545085e-05,6.2
25,0.21034,0.88158,6.294095e-05,6.1
26,0.20150,0.88120,6.039558e-05,6.0
27,0.20360,0.87501,5.782172e-05,6.2
28,0.21365,0.88411,5.522642e-05,6.1
29,0.20112,0.86220,5.261680e-05,6.2
30,0.20532,0.87919,5.000000e-05,6.2
31,0.19873,0.88567,4.738320e-05,6.5
32,0.20941,0.86790,4.477358e-05,6.4
33,0.19505,0.87365,4.217828e-05,6.3
34,0.18075,0.87786,3.960442e-05,6.3
35,0.17527,0.87445,3.705905e-05,6.3
36,0.18278,0.88113,3.454915e-05,6.3
37,0.18796,0.87574,3.208160e-05,6.3
38,0.17108,0.87746,2.966317e-05,6.5
39,0.17613,0.88481,2.730048e-05,6.3
40,0.17177,0.88847,2.500000e-05,5.9
41,0.16736,0.89275,2.276805e-05,6.2
42,0.17251,0.88623,2.061074e-05,6.0
43,0.16211,0.89145,1.853398e-05,6.2
44,0.16765,0.88507,1.654347e-05,5.9
45,0.15728,0.88791,1.464466e-05,6.1
46,0.15323,0.88998,1.284276e-05,6.1
47,0.14947,0.88560,1.114270e-05,6.1
48,0.15329,0.88527,9.549150e-06,6.1
49,0.14481,0.88723,8.066472e-06,6.1
50,0.15448,0.88681,6.698730e-06,6.1
51,0.15035,0.88629,5.449674e-06,6.3
52,0.16472,0.88919,4.322727e-06,6.4
53,0.15579,0.88849,3.320979e-06,6.0
54,0.15279,0.88725,2.447174e-06,6.1
55,0.14062,0.88695,1.703709e-06,6.0
56,0.14767,0.88884,1.092620e-06,6.0
